"","alpha0","beta0","beta1","snp.1.add","snp.1.dom","alpha0.snp.1.add","beta0.snp.1.add","beta1.snp.1.add","alpha0.snp.1.dom","beta0.snp.1.dom","beta1.snp.1.dom","sim"
"1",0.994897959183674,0.994897959183674,0.979591836734694,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2",0.994897959183674,0.994897959183674,0.979591836734694,1,0.0459183673469388,NA,NA,NA,NA,NA,NA,"2"
"3",0.664965986394558,0.525510204081633,0.340153452685422,0.712585034013605,0.0561224489795918,0.943877551020408,0.862244897959184,0.275510204081633,0.0510204081632653,0.0561224489795918,0.0564102564102564,"3"
